AtomicNumber,Name,Symbol,AtomicMass,Color
1,Hidrógeno,H,1.007,#ffffff
2,Helio,He,4.002,#d9ffff
3,Litio,Li,6.941,#cc80ff
4,Berilio,Be,9.012,#c2ff00
5,Boro,B,10.811,#ffb5b5
6,Carbono,C,12.011,#909090
7,Nitrógeno,N,14.007,#3050f8
8,Oxígeno,O,15.999,#ff0d0d
9,Flúor,F,18.998,#90e050
10,Neón,Ne,20.18,#b3e3f5
11,Sodio,Na,22.99,#ab5cf2
12,Magnesio,Mg,24.305,#8aff00
13,Aluminio,Al,26.982,#bfa6a6
14,Silicio,Si,28.086,#f0c8a0
15,Fósforo,P,30.974,#ff8000
16,Azufre,S,32.065,#ffff30
17,Cloro,Cl,35.453,#1ff01f
18,Argón,Ar,39.948,#80d1e3
19,Potasio,K,39.098,#8f40d4
20,Calcio,Ca,40.078,#3dff00
21,Escandio,Sc,44.956,#e6e6e6
22,Titanio,Ti,47.867,#bfc2c7
23,Vanadio,V,50.942,#a6a6ab
24,Cromo,Cr,51.996,#8a99c7
25,Manganeso,Mn,54.938,#9c7ac7
26,Hierro,Fe,55.845,#e06633
27,Cobalto,Co,58.933,#f090a0
28,Níquel,Ni,58.693,#50d050
29,Cobre,Cu,63.546,#c88033
30,Zinc,Zn,65.38,#7d80b0
31,Galio,Ga,69.723,#c28f8f
32,Germanio,Ge,72.64,#668f8f
33,Arsénico,As,74.922,#bd80e3
34,Selenio,Se,78.96,#ffa100
35,Bromo,Br,79.904,#a62929
36,Kripton,Kr,83.798,#5cb8d1
37,Rubidio,Rb,85.468,#702eb0
38,Estroncio,Sr,87.62,#00ff00
39,Itrio,Y,88.906,#94ffff
40,Zirconio,Zr,91.224,#94e0e0
41,Niobio,Nb,92.906,#73c2c9
42,Molybdeno,Mo,95.96,#54b5b5
43,Tecnecio,Tc,98,#3b9e9e
44,Rutenio,Ru,101.07,#248f8f
45,Rodio,Rh,102.906,#0a7d8c
46,Paladio,Pd,106.42,#006985
47,Plata,Ag,107.868,#c0c0c0
48,Cadmio,Cd,112.411,#ffd98f
49,Indio,In,114.818,#a67573
50,Estaño,Sn,118.71,#668080
51,Antimonio,Sb,121.76,#9e63b5
52,Telurio,Te,127.6,#d47a00
53,Yodo,I,126.904,#940094
54,Xenón,Xe,131.293,#429eb0
55,Cesio,Cs,132.905,#57178f
56,Bario,Ba,137.327,#00c900
57,Lantano,La,138.905,#70d4ff
58,Cerio,Ce,140.116,#ffffc7
59,Praseodimio,Pr,140.908,#d9ffc7
60,Neodimio,Nd,144.242,#c7ffc7
61,Prometio,Pm,145,#a3ffc7
62,Samario,Sm,150.36,#8fffc7
63,Europio,Eu,151.964,#61ffc7
64,Gadolinio,Gd,157.25,#45ffc7
65,Terbio,Tb,158.925,#30ffc7
66,Disprosio,Dy,162.5,#1fffc7
67,Holmio,Ho,164.93,#00ff9c
68,Erbio,Er,167.259,#00e675
69,Tulio,Tm,168.934,#00d452
70,Iterbio,Yb,173.054,#00bf38
71,Lutecio,Lu,174.967,#00ab24
72,Hafnio,Hf,178.49,#4dc2ff
73,Tántalo,Ta,180.948,#4da6ff
74,Wolframio,W,183.84,#2194d6
75,Renio,Re,186.207,#267dab
76,Osmio,Os,190.23,#266696
77,Iridio,Ir,192.217,#175487
78,Platino,Pt,195.084,#d0d0e0
79,Oro,Au,196.967,#ffd123
80,Mercurio,Hg,200.59,#b8b8d0
81,Talio,Tl,204.383,#a6544d
82,Plomo,Pb,207.2,#575961
83,Bismuto,Bi,208.98,#9e4fb5
84,Polonio,Po,210,#ab5c00
85,Astato,At,210,#754f45
86,Radón,Rn,222,#428296
87,Francio,Fr,223,#420066
88,Radio,Ra,226,#007d00
89,Actinio,Ac,227,#70abfa
90,Torio,Th,232.038,#00baff
91,Protactinio,Pa,231.036,#00a1ff
92,Uranio,U,238.029,#008fff
93,Neptunio,Np,237,#0080ff
94,Plutonio,Pu,244,#006bff
95,Americio,Am,243,#545cf2
96,Curio,Cm,247,#785ce3
97,Berkelio,Bk,247,#8a4fe3
98,Californio,Cf,251,#a136d4
99,Einsteinio,Es,252,#b31fd4
100,Fermio,Fm,257,#b31fba
101,Mendelevio,Md,258,#b30da6
102,Nobelio,No,259,#bd0d87
103,Lawrencio,Lr,262,#c70066
104,Rutherfordio,Rf,261,#cc0059
105,Dubnio,Db,262,#d1004f
106,Seaborgio,Sg,266,#d90045
107,Bohrio,Bh,264,#e00038
108,Hassio,Hs,267,#e6002e
109,Meitnerio,Mt,268,#eb0026
110,Darmstadtio,Ds,271,#eb0026
111,Roentgenio,Rg,272,#eb0026
112,Copernicio,Cn,285,#eb0026
113,Nihonio,Nh,284,#eb0026
114,Flerovio,Fl,289,#eb0026
115,Moscovio,Mc,288,#eb0026
116,Livermorio,Lv,292,#eb0026
117,Teneso,Ts,295,#eb0026
118,Oganesón,Og,294,#eb0026
